sales_person,country,product,date,amount,boxes_shipped,festival
Gunar Cockshoot,New Zealand,Raspberry Choco,2022-08-24,630.0,52,None Festival
Van Tuxwell,Australia,99% Dark & Pure,2022-01-17,112.0,128,None Festival
Curtice Advani,USA,Drinking Coco,2022-02-07,5187.0,142,None Festival
Brien Boise,Australia,Spicy Special Slims,2022-05-09,6223.0,256,Mother's Day
Mallorie Waber,New Zealand,85% Dark Bars,2022-06-06,7714.0,106,None Festival
Wilone O'Kielt,USA,Choco Coated Almonds,2022-06-06,9457.0,6,None Festival
Beverie Moffet,New Zealand,Organic Choco Syrup,2022-05-24,6678.0,226,None Festival
Gunar Cockshoot,UK,50% Dark Bites,2022-01-13,2107.0,121,None Festival
Marney O'Breen,USA,Raspberry Choco,2022-05-23,6069.0,151,None Festival
Jehu Rudeforth,UK,White Choc,2022-06-29,1862.0,284,None Festival
Jehu Rudeforth,New Zealand,85% Dark Bars,2022-03-11,6972.0,89,White Day
Dotty Strutley,USA,85% Dark Bars,2022-04-25,10220.0,508,Easter
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2022-05-30,3969.0,243,None Festival
Curtice Advani,India,Manuka Honey Choco,2022-05-23,1547.0,170,None Festival
Mallorie Waber,USA,Peanut Butter Cubes,2022-05-23,1162.0,18,None Festival
Van Tuxwell,Canada,Peanut Butter Cubes,2022-06-24,6342.0,282,None Festival
Kelci Walkden,New Zealand,Smooth Sliky Salty,2022-03-11,10633.0,277,White Day
Rafaelita Blaksland,USA,Smooth Sliky Salty,2022-07-27,15057.0,212,None Festival
Rafaelita Blaksland,USA,White Choc,2022-08-16,4704.0,126,None Festival
Roddy Speechley,Canada,Smooth Sliky Salty,2022-03-07,9338.0,11,None Festival
Curtice Advani,New Zealand,After Nines,2022-04-05,7959.0,30,Easter
Camilla Castle,India,85% Dark Bars,2022-05-04,9023.0,51,None Festival
Ches Bonnell,USA,Choco Coated Almonds,2022-01-04,14525.0,92,None Festival
Marney O'Breen,Australia,Baker's Choco Chips,2022-01-13,5810.0,101,None Festival
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2022-07-11,6426.0,98,None Festival
Kaine Padly,Australia,Mint Chip Choco,2022-05-17,4403.0,159,None Festival
Camilla Castle,New Zealand,Peanut Butter Cubes,2022-07-21,1582.0,62,None Festival
Curtice Advani,Canada,Organic Choco Syrup,2022-02-22,791.0,22,None Festival
Jan Morforth,India,99% Dark & Pure,2022-05-23,9100.0,187,None Festival
Rafaelita Blaksland,Canada,Drinking Coco,2022-07-12,9884.0,200,None Festival
Jan Morforth,UK,Orange Choco,2022-06-15,3780.0,201,None Festival
Barr Faughny,New Zealand,50% Dark Bites,2022-06-23,4557.0,308,None Festival
Curtice Advani,Australia,Eclairs,2022-03-25,5796.0,55,None Festival
Jan Morforth,India,Caramel Stuffed Bars,2022-07-04,84.0,153,None Festival
Andria Kimpton,UK,White Choc,2022-05-12,9037.0,101,Mother's Day
Camilla Castle,New Zealand,Raspberry Choco,2022-04-04,4746.0,137,Easter
Madelene Upcott,Australia,Orange Choco,2022-04-15,6713.0,398,Easter
Roddy Speechley,Canada,Eclairs,2022-03-08,6237.0,88,None Festival
Karlen McCaffrey,India,White Choc,2022-01-17,7483.0,232,None Festival
Wilone O'Kielt,India,Mint Chip Choco,2022-08-22,1309.0,51,None Festival
Andria Kimpton,UK,99% Dark & Pure,2022-07-25,1155.0,66,None Festival
Marney O'Breen,UK,50% Dark Bites,2022-06-14,2989.0,124,None Festival
Ches Bonnell,India,Choco Coated Almonds,2022-04-05,9625.0,78,Easter
Madelene Upcott,UK,Raspberry Choco,2022-08-26,7357.0,341,None Festival
Wilone O'Kielt,Australia,50% Dark Bites,2022-08-03,10031.0,114,None Festival
Gigi Bohling,Canada,White Choc,2022-07-11,6587.0,4,None Festival
Wilone O'Kielt,New Zealand,Eclairs,2022-03-11,3311.0,22,White Day
Brien Boise,UK,Peanut Butter Cubes,2022-01-10,15330.0,30,None Festival
Roddy Speechley,UK,Baker's Choco Chips,2022-04-04,14028.0,351,Easter
Karlen McCaffrey,Australia,50% Dark Bites,2022-01-17,6678.0,708,None Festival
Marney O'Breen,New Zealand,Organic Choco Syrup,2022-07-08,8624.0,50,None Festival
Jan Morforth,UK,Organic Choco Syrup,2022-04-12,1197.0,356,Easter
Rafaelita Blaksland,Canada,Fruit & Nut Bars,2022-08-24,483.0,185,None Festival
Ches Bonnell,UK,Choco Coated Almonds,2022-06-07,1687.0,236,None Festival
Gunar Cockshoot,Canada,Almond Choco,2022-07-28,1309.0,30,None Festival
Husein Augar,USA,99% Dark & Pure,2022-02-21,9534.0,111,None Festival
Dennison Crosswaite,Canada,Mint Chip Choco,2022-04-08,1694.0,289,Easter
Brien Boise,UK,Manuka Honey Choco,2022-06-28,70.0,103,None Festival
Van Tuxwell,UK,Baker's Choco Chips,2022-03-24,2443.0,20,None Festival
Barr Faughny,Australia,Caramel Stuffed Bars,2022-07-29,2933.0,55,None Festival
Dennison Crosswaite,USA,Eclairs,2022-05-25,2044.0,90,None Festival
Gigi Bohling,Australia,Raspberry Choco,2022-03-30,6524.0,303,None Festival
Dennison Crosswaite,USA,Organic Choco Syrup,2022-07-18,12656.0,126,None Festival
Beverie Moffet,Canada,Orange Choco,2022-05-10,8722.0,109,Mother's Day
Mallorie Waber,Australia,Choco Coated Almonds,2022-03-18,15750.0,92,None Festival
Ches Bonnell,India,Caramel Stuffed Bars,2022-06-15,6839.0,56,None Festival
Van Tuxwell,Canada,50% Dark Bites,2022-05-12,13685.0,58,Mother's Day
Kelci Walkden,New Zealand,Baker's Choco Chips,2022-06-23,2912.0,110,None Festival
Beverie Moffet,India,Spicy Special Slims,2022-04-21,3339.0,171,Easter
Gigi Bohling,Australia,Almond Choco,2022-08-17,910.0,117,None Festival
Rafaelita Blaksland,New Zealand,Eclairs,2022-02-07,19481.0,51,None Festival
Kelci Walkden,Canada,Smooth Sliky Salty,2022-03-17,8099.0,118,None Festival
Jan Morforth,India,Baker's Choco Chips,2022-08-01,13727.0,79,None Festival
Jehu Rudeforth,Australia,Milk Bars,2022-03-18,8659.0,29,None Festival
Gigi Bohling,Canada,Fruit & Nut Bars,2022-06-14,5782.0,103,None Festival
Beverie Moffet,UK,Eclairs,2022-04-22,8463.0,155,Easter
Marney O'Breen,New Zealand,Eclairs,2022-01-18,4914.0,31,None Festival
Husein Augar,Australia,99% Dark & Pure,2022-08-26,3087.0,128,None Festival
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2022-06-10,9205.0,419,None Festival
Curtice Advani,Canada,70% Dark Bites,2022-01-31,2303.0,7,None Festival
Kelci Walkden,New Zealand,Manuka Honey Choco,2022-04-08,1358.0,106,Easter
Dotty Strutley,Australia,Baker's Choco Chips,2022-06-07,3605.0,68,None Festival
Barr Faughny,Australia,85% Dark Bars,2022-02-10,8498.0,44,Valentine's Day
Beverie Moffet,Australia,50% Dark Bites,2022-05-16,700.0,457,None Festival
Gunar Cockshoot,India,Baker's Choco Chips,2022-03-18,2191.0,524,None Festival
Van Tuxwell,Australia,50% Dark Bites,2022-07-13,644.0,137,None Festival
Oby Sorrel,USA,Manuka Honey Choco,2022-07-25,4340.0,86,None Festival
Van Tuxwell,Canada,Choco Coated Almonds,2022-08-19,2282.0,296,None Festival
Karlen McCaffrey,Canada,70% Dark Bites,2022-06-24,7714.0,597,None Festival
Kelci Walkden,Canada,Fruit & Nut Bars,2022-06-20,826.0,149,None Festival
Camilla Castle,India,99% Dark & Pure,2022-08-02,203.0,207,None Festival
Madelene Upcott,New Zealand,70% Dark Bites,2022-02-22,13356.0,93,None Festival
Mallorie Waber,New Zealand,Orange Choco,2022-02-01,6510.0,23,None Festival
Jan Morforth,Canada,70% Dark Bites,2022-02-14,5894.0,305,Valentine's Day
Kelci Walkden,Australia,Milk Bars,2022-02-24,7910.0,125,None Festival
Dennison Crosswaite,India,Orange Choco,2022-03-18,784.0,129,None Festival
Husein Augar,UK,Eclairs,2022-08-30,1750.0,252,None Festival
Gigi Bohling,USA,Peanut Butter Cubes,2022-05-09,280.0,75,Mother's Day
Wilone O'Kielt,USA,Smooth Sliky Salty,2022-01-18,504.0,87,None Festival
Curtice Advani,India,White Choc,2022-07-04,7154.0,342,None Festival
Oby Sorrel,New Zealand,Spicy Special Slims,2022-06-03,1617.0,13,None Festival
Beverie Moffet,New Zealand,Peanut Butter Cubes,2022-02-23,10822.0,30,None Festival
Dotty Strutley,New Zealand,99% Dark & Pure,2022-05-09,10724.0,203,Mother's Day
Kelci Walkden,India,70% Dark Bites,2022-06-06,3640.0,106,None Festival
Kelci Walkden,India,Drinking Coco,2022-07-04,7532.0,234,None Festival
Brien Boise,New Zealand,Drinking Coco,2022-06-06,1582.0,100,None Festival
Dotty Strutley,Australia,Almond Choco,2022-05-13,1456.0,91,Mother's Day
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2022-01-31,2016.0,277,None Festival
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2022-06-30,7588.0,42,None Festival
Barr Faughny,Canada,Manuka Honey Choco,2022-08-25,3402.0,249,None Festival
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-01-10,700.0,97,None Festival
Brien Boise,USA,Manuka Honey Choco,2022-08-22,1904.0,8,None Festival
Roddy Speechley,New Zealand,85% Dark Bars,2022-04-14,4844.0,275,Easter
Oby Sorrel,UK,Smooth Sliky Salty,2022-05-31,9625.0,313,None Festival
Oby Sorrel,UK,Raspberry Choco,2022-04-08,4599.0,323,Easter
Roddy Speechley,USA,Drinking Coco,2022-02-21,3003.0,155,None Festival
Andria Kimpton,Australia,Manuka Honey Choco,2022-03-30,9744.0,377,None Festival
Mallorie Waber,India,Raspberry Choco,2022-03-02,1400.0,2,None Festival
Jehu Rudeforth,USA,Orange Choco,2022-07-28,364.0,170,None Festival
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,7231.0,38,None Festival
Curtice Advani,Australia,After Nines,2022-08-11,63.0,105,None Festival
Husein Augar,UK,Almond Choco,2022-05-17,8309.0,166,None Festival
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,3164.0,164,None Festival
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,5691.0,171,None Festival
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490.0,49,Easter
Brien Boise,India,85% Dark Bars,2022-08-09,18032.0,205,None Festival
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637.0,313,None Festival
Andria Kimpton,Canada,White Choc,2022-02-14,4067.0,29,Valentine's Day
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,8204.0,307,None Festival
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,9870.0,121,None Festival
Husein Augar,Canada,70% Dark Bites,2022-01-31,5131.0,285,None Festival
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,1141.0,205,White Day
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,7980.0,157,None Festival
Van Tuxwell,New Zealand,Eclairs,2022-03-01,5229.0,182,None Festival
Mallorie Waber,UK,Drinking Coco,2022-05-27,3423.0,100,None Festival
Oby Sorrel,UK,Milk Bars,2022-07-11,6468.0,223,None Festival
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,4326.0,61,None Festival
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,7154.0,133,None Festival
Kelci Walkden,UK,85% Dark Bars,2022-06-23,3997.0,228,None Festival
Kelci Walkden,USA,Almond Choco,2022-01-27,5180.0,233,None Festival
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723.0,425,None Festival
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952.0,24,None Festival
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,5691.0,495,Mother's Day
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,10969.0,170,None Festival
Brien Boise,India,Smooth Sliky Salty,2022-05-27,5964.0,26,None Festival
Jan Morforth,Australia,Drinking Coco,2022-02-18,2821.0,24,None Festival
Brien Boise,India,Spicy Special Slims,2022-01-28,1302.0,33,None Festival
Van Tuxwell,UK,Eclairs,2022-06-29,5474.0,109,None Festival
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179.0,276,None Festival
Jehu Rudeforth,UK,After Nines,2022-06-27,1946.0,164,None Festival
Barr Faughny,Canada,White Choc,2022-03-29,4291.0,1,None Festival
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,7196.0,160,None Festival
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,1939.0,98,None Festival
Mallorie Waber,India,Eclairs,2022-04-12,10437.0,46,Easter
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916.0,259,None Festival
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,3647.0,310,Easter
Kaine Padly,Australia,50% Dark Bites,2022-08-02,8995.0,78,None Festival
Gigi Bohling,Australia,Eclairs,2022-04-12,7252.0,136,Easter
Oby Sorrel,India,Drinking Coco,2022-07-21,16380.0,130,None Festival
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,9660.0,24,None Festival
Husein Augar,India,Peanut Butter Cubes,2022-05-09,4522.0,5,Mother's Day
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329.0,109,None Festival
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,3458.0,294,None Festival
Brien Boise,India,70% Dark Bites,2022-04-14,4641.0,413,Easter
Jehu Rudeforth,Canada,White Choc,2022-01-25,4627.0,136,None Festival
Andria Kimpton,Australia,Almond Choco,2022-04-25,3192.0,175,Easter
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237,None Festival
Karlen McCaffrey,USA,Eclairs,2022-08-15,868.0,125,None Festival
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210.0,16,None Festival
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,7007.0,135,None Festival
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,5845.0,91,Valentine's Day
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,1372.0,614,None Festival
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,8428.0,216,None Festival
Camilla Castle,UK,Mint Chip Choco,2022-05-26,4977.0,317,None Festival
Brien Boise,USA,70% Dark Bites,2022-04-14,1694.0,21,Easter
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,4326.0,154,None Festival
Mallorie Waber,Australia,Eclairs,2022-08-22,9527.0,222,None Festival
Marney O'Breen,India,99% Dark & Pure,2022-07-22,10766.0,157,None Festival
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,1288.0,27,Easter
Kelci Walkden,Australia,Almond Choco,2022-05-30,4879.0,350,None Festival
Ches Bonnell,USA,Milk Bars,2022-07-21,2408.0,157,None Festival
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,3094.0,468,None Festival
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,7231.0,130,None Festival
Oby Sorrel,India,85% Dark Bars,2022-07-05,8981.0,130,None Festival
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7.0,518,Easter
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,1372.0,105,None Festival
Jan Morforth,UK,50% Dark Bites,2022-01-12,5250.0,293,None Festival
Gunar Cockshoot,Canada,White Choc,2022-08-11,7560.0,15,None Festival
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384,None Festival
Husein Augar,UK,Baker's Choco Chips,2022-04-29,3038.0,135,Easter
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,1099.0,92,None Festival
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,7413.0,4,White Day
Madelene Upcott,UK,70% Dark Bites,2022-02-16,5397.0,239,Valentine's Day
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33,None Festival
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518,None Festival
Beverie Moffet,India,Eclairs,2022-06-09,10325.0,147,None Festival
Andria Kimpton,India,Eclairs,2022-05-16,2149.0,84,None Festival
Gigi Bohling,UK,85% Dark Bars,2022-06-23,12362.0,94,None Festival
Roddy Speechley,UK,Raspberry Choco,2022-01-28,12635.0,194,None Festival
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,2443.0,216,None Festival
Barr Faughny,Canada,Drinking Coco,2022-04-18,6237.0,247,Easter
Oby Sorrel,USA,Milk Bars,2022-06-14,1736.0,79,None Festival
Oby Sorrel,UK,Orange Choco,2022-04-15,7315.0,237,Easter
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,4935.0,63,None Festival
Gigi Bohling,India,White Choc,2022-04-13,1393.0,172,Easter
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,3381.0,408,None Festival
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,2933.0,233,None Festival
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,3836.0,59,Easter
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,8022.0,123,None Festival
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229,None Festival
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198,None Festival
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,13258.0,32,Mother's Day
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,2058.0,236,Valentine's Day
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,10192.0,67,None Festival
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,7140.0,438,None Festival
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,9835.0,167,None Festival
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,5775.0,135,None Festival
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749.0,148,None Festival
Camilla Castle,Canada,Orange Choco,2022-02-17,7770.0,54,None Festival
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,5502.0,64,None Festival
Oby Sorrel,UK,70% Dark Bites,2022-03-16,6223.0,181,None Festival
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,3507.0,114,None Festival
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181,None Festival
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721.0,151,None Festival
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,6615.0,137,None Festival
Barr Faughny,USA,White Choc,2022-05-05,7420.0,163,None Festival
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,3164.0,84,None Festival
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,9114.0,140,Valentine's Day
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,5404.0,187,Mother's Day
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,3990.0,169,None Festival
Ches Bonnell,UK,85% Dark Bars,2022-06-28,14924.0,12,None Festival
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,7091.0,194,None Festival
Roddy Speechley,USA,Milk Bars,2022-05-16,2807.0,252,None Festival
Jan Morforth,India,After Nines,2022-03-14,6496.0,168,White Day
Gunar Cockshoot,USA,After Nines,2022-08-15,3738.0,261,None Festival
Ches Bonnell,India,Orange Choco,2022-02-16,1190.0,256,Valentine's Day
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,8379.0,43,None Festival
Barr Faughny,Australia,Raspberry Choco,2022-05-27,9268.0,100,None Festival
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,1029.0,98,None Festival
Wilone O'Kielt,India,Eclairs,2022-02-25,3549.0,76,None Festival
Wilone O'Kielt,India,After Nines,2022-08-04,12026.0,262,None Festival
Kelci Walkden,India,99% Dark & Pure,2022-06-28,2303.0,244,None Festival
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,13405.0,12,Easter
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,14763.0,113,None Festival
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48,None Festival
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,8302.0,131,Valentine's Day
Curtice Advani,UK,Drinking Coco,2022-07-12,455.0,174,None Festival
Kelci Walkden,India,Raspberry Choco,2022-06-16,8183.0,254,None Festival
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,1645.0,284,Easter
Kaine Padly,UK,50% Dark Bites,2022-02-21,3143.0,67,None Festival
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,5873.0,249,Mother's Day
Ches Bonnell,India,50% Dark Bites,2022-04-15,11298.0,313,Easter
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,12425.0,167,None Festival
Oby Sorrel,UK,White Choc,2022-06-27,1715.0,286,None Festival
Barr Faughny,India,After Nines,2022-07-29,8190.0,109,None Festival
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,4991.0,166,None Festival
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,15491.0,85,None Festival
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,5096.0,142,None Festival
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104,None Festival
Beverie Moffet,USA,70% Dark Bites,2022-06-27,2275.0,115,None Festival
Barr Faughny,Canada,Orange Choco,2022-06-30,7602.0,18,None Festival
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,4200.0,80,None Festival
Oby Sorrel,India,Spicy Special Slims,2022-06-08,11137.0,88,None Festival
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,3388.0,212,None Festival
Kaine Padly,Australia,After Nines,2022-04-08,6832.0,306,Easter
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,3437.0,181,None Festival
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301.0,65,None Festival
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158,None Festival
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,17465.0,271,None Festival
Madelene Upcott,USA,Almond Choco,2022-05-31,10143.0,24,None Festival
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,3626.0,10,None Festival
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,3346.0,304,None Festival
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,6321.0,88,None Festival
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,9345.0,133,None Festival
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,15008.0,165,None Festival
Kelci Walkden,New Zealand,White Choc,2022-04-13,7609.0,150,Easter
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,10332.0,180,Valentine's Day
Mallorie Waber,India,White Choc,2022-07-26,819.0,213,None Festival
Brien Boise,UK,Drinking Coco,2022-01-27,5754.0,133,None Festival
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28.0,446,Easter
Oby Sorrel,USA,Almond Choco,2022-05-19,6440.0,141,None Festival
Husein Augar,India,Eclairs,2022-02-09,4956.0,58,None Festival
Brien Boise,UK,Spicy Special Slims,2022-05-25,2352.0,58,None Festival
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,3906.0,76,None Festival
Beverie Moffet,India,White Choc,2022-07-04,1813.0,296,None Festival
Ches Bonnell,India,Almond Choco,2022-04-13,11788.0,73,Easter
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,5768.0,119,None Festival
Camilla Castle,USA,85% Dark Bars,2022-04-25,2401.0,78,Easter
Camilla Castle,USA,Eclairs,2022-06-10,4515.0,392,None Festival
Madelene Upcott,New Zealand,White Choc,2022-08-22,10794.0,51,None Festival
Van Tuxwell,India,After Nines,2022-06-27,13706.0,207,None Festival
Husein Augar,India,Orange Choco,2022-06-30,4361.0,40,None Festival
Jehu Rudeforth,India,Almond Choco,2022-08-30,10122.0,100,None Festival
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994.0,57,None Festival
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,2268.0,42,None Festival
Gigi Bohling,Australia,Orange Choco,2022-03-09,574.0,156,None Festival
Kelci Walkden,UK,Drinking Coco,2022-04-20,1792.0,23,Easter
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,4844.0,539,None Festival
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938.0,158,None Festival
Brien Boise,Australia,White Choc,2022-08-25,4879.0,22,None Festival
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,9107.0,73,Valentine's Day
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,12187.0,27,None Festival
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,5670.0,64,None Festival
Gigi Bohling,USA,Milk Bars,2022-06-16,476.0,133,None Festival
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,2681.0,149,None Festival
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,1533.0,434,White Day
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,9765.0,85,None Festival
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994.0,118,None Festival
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,3318.0,299,None Festival
Mallorie Waber,Canada,Almond Choco,2022-05-12,4214.0,35,Mother's Day
Oby Sorrel,USA,Drinking Coco,2022-03-11,7714.0,44,White Day
Brien Boise,New Zealand,Eclairs,2022-07-11,4690.0,299,None Festival
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,13062.0,62,None Festival
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,12488.0,200,Valentine's Day
Curtice Advani,USA,After Nines,2022-04-13,14147.0,235,Easter
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49.0,363,Valentine's Day
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,10199.0,68,White Day
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,11389.0,26,Easter
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,3584.0,200,Easter
Camilla Castle,Canada,Drinking Coco,2022-03-03,12481.0,264,None Festival
Kaine Padly,USA,Spicy Special Slims,2022-06-13,2107.0,175,None Festival
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,8603.0,352,Valentine's Day
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,7483.0,183,Easter
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,3381.0,417,None Festival
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,2030.0,146,None Festival
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,6559.0,158,Easter
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,10822.0,168,None Festival
Kaine Padly,UK,After Nines,2022-01-21,18697.0,176,None Festival
Kaine Padly,Canada,After Nines,2022-08-22,5845.0,172,None Festival
Kaine Padly,UK,Drinking Coco,2022-01-27,2317.0,224,None Festival
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,10150.0,68,Valentine's Day
Dotty Strutley,USA,Raspberry Choco,2022-01-03,3437.0,46,New Year
Karlen McCaffrey,USA,White Choc,2022-08-24,4592.0,2,None Festival
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,5691.0,417,None Festival
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,4158.0,109,Valentine's Day
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,5684.0,81,None Festival
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693.0,350,None Festival
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546.0,142,Easter
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,4263.0,264,None Festival
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,1036.0,20,None Festival
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,13846.0,421,None Festival
